Database Key	Shape Family Key	imp_key	met_key	imp_displayName	met_displayName	imp_group	met_group	note	defaultOrder	imp_curr_W	met_curr_W	imp_curr_A	met_curr_A	imp_curr_d	met_curr_d	imp_curr_d_det	met_curr_d_det	imp_curr_Ht	met_curr_Ht	imp_curr_h	met_curr_h	imp_curr_OD	met_curr_OD	imp_curr_b_f	met_curr_b_f	imp_curr_b_fdet	met_curr_b_fdet	imp_curr_B	met_curr_B	imp_curr_b	met_curr_b	imp_curr_ID	met_curr_ID	imp_curr_t_w	met_curr_t_w	imp_curr_t_wdet	met_curr_t_wdet	imp_curr_t_wdet/2	met_curr_t_wdet/2	imp_curr_t_f	met_curr_t_f	imp_curr_t_fdet	met_curr_t_fdet	imp_curr_t	met_curr_t	imp_curr_t_nom	met_curr_t_nom	imp_curr_t_des	met_curr_t_des	imp_curr_k_des	met_curr_k_des	imp_curr_k_det	met_curr_k_det	imp_curr_k_1	met_curr_k_1	imp_curr_x	met_curr_x	imp_curr_y	met_curr_y	imp_curr_e_o	met_curr_e_o	imp_curr_x_p	met_curr_x_p	imp_curr_y_p	met_curr_y_p	imp_curr_b_f/2t_f	met_curr_b_f/2t_f	imp_curr_b/t	met_curr_b/t	imp_curr_b/t_des	met_curr_b/t_des	imp_curr_h/t_w	met_curr_h/t_w	imp_curr_h/t_des	met_curr_h/t_des	imp_curr_D/t	met_curr_D/t	imp_curr_I_x	met_curr_I_x	imp_curr_Z_x	met_curr_Z_x	imp_curr_S_x	met_curr_S_x	imp_curr_r_x	met_curr_r_x	imp_curr_I_y	met_curr_I_y	imp_curr_Z_y	met_curr_Z_y	imp_curr_S_y	met_curr_S_y	imp_curr_r_y	met_curr_r_y	imp_curr_I_z	met_curr_I_z	imp_curr_r_z	met_curr_r_z	imp_curr_S_z	met_curr_S_z	imp_curr_J	met_curr_J	imp_curr_C_w	met_curr_C_w	imp_curr_C	met_curr_C	imp_curr_W_no	met_curr_W_no	imp_curr_S_w1	met_curr_S_w1	imp_curr_S_w2	met_curr_S_w2	imp_curr_S_w3	met_curr_S_w3	imp_curr_Q_f	met_curr_Q_f	imp_curr_Q_w	met_curr_Q_w	imp_curr_r_o	met_curr_r_o	imp_curr_H	met_curr_H	imp_curr_tan(ALPHA)	met_curr_tanALPHA	imp_curr_Q_s	met_curr_Q_s	imp_curr_I_w	met_curr_I_w	imp_curr_z_A	met_curr_z_A	imp_curr_z_B	met_curr_z_B	imp_curr_z_C	met_curr_z_C	imp_curr_w_A	met_curr_w_A	imp_curr_w_B	met_curr_w_B	imp_curr_w_C	met_curr_w_C	imp_curr_S_wA	met_curr_S_wA	imp_curr_S_wB	met_curr_S_wB	imp_curr_S_wC	met_curr_S_wC	imp_curr_S_zA	met_curr_S_zA	imp_curr_S_zB	met_curr_S_zB	imp_curr_S_zC	met_curr_S_zC	imp_curr_r_ts	met_curr_r_ts	imp_curr_h_o	met_curr_h_o	imp_curr_P_A	met_curr_P_A	imp_curr_P_B	met_curr_P_B
AISC_LRFD_14	W	W40X324	W1000X483	W40X324	W1000X483	W40	W1000		11	324	483	95.3	61500	40.2	1020	40.125	1020							15.9	404	15.875	403							1.00	25.4	1	25.4	0.5	12.7	1.81	46.0	1.8125	46.0							2.99	75.9	3.0625	77.8	1.6875	42.9											4.40	4.40					34.2	34.2					25600	10700000000	1460	23900000	1280	21000000	16.4	417	1220	508000000	239	3920000	153	2510000	3.58	90.9							79.4	33000000	448000	120000000000000			153	98700	1100	458000000					259	4240000	720	11800000																																			4.27	108	38.4	975	124	3150	140	3560
AISC_LRFD_14	W	W40X297	W1000X443	W40X297	W1000X443	W40	W1000		12	297	443	87.3	56300	39.8	1010	39.875	1010							15.8	401	15.875	403							0.930	23.6	0.9375	23.8	0.5	12.7	1.65	41.9	1.625	41.3							2.83	71.9	2.9375	74.6	1.6875	42.9											4.80	4.80					36.8	36.8					23200	9660000000	1330	21800000	1170	19200000	16.3	414	1090	454000000	215	3520000	138	2260000	3.54	89.9							61.2	25500000	399000	107000000000000			151	97400	982	409000000					234	3830000	652	10700000																																			4.22	107	38.2	970	123	3120	139	3530
AISC_LRFD_14	W	W40X277	W1000X412	W40X277	W1000X412	W40	W1000		13	277	412	81.5	52600	39.7	1010	39.75	1010							15.8	401	15.875	403							0.830	21.1	0.8125	20.6	0.4375	11.1	1.58	40.1	1.5625	39.7							2.76	70.1	2.875	73.0	1.625	41.3											5.03	5.03					41.2	41.2					21900	9120000000	1250	20500000	1100	18000000	16.4	417	1040	433000000	204	3340000	132	2160000	3.58	90.9							51.5	21400000	379000	102000000000000			151	97400	940	391000000					225	3690000	614	10100000																																			4.25	108	38.1	968	123	3120	139	3530
AISC_LRFD_14	W	W40X249	W1000X371	W40X249	W1000X371	W40	W1000		14	249	371	73.5	47400	39.4	1000	39.375	1000							15.8	401	15.75	400							0.750	19.1	0.75	19.0	0.375	9.52	1.42	36.1	1.4375	36.5							2.60	66.0	2.6875	68.3	1.5625	39.7											5.55	5.55					45.6	45.6					19600	8160000000	1120	18400000	993	16300000	16.3	414	926	385000000	182	2980000	118	1930000	3.55	90.2							38.1	15900000	334000	89700000000000			150	96800	841	350000000					203	3330000	551	9030000																																			4.21	107	38.0	965	122	3100	138	3510
AISC_LRFD_14	W	W40X215	W1000X321	W40X215	W1000X321	W40	W1000		15	215	321	63.5	41000	39.0	991	39	991							15.8	401	15.75	400							0.650	16.5	0.625	15.9	0.3125	7.94	1.22	31.0	1.25	31.8							2.40	61.0	2.5	63.5	1.5625	39.7											6.45	6.45					52.6	52.6					16700	6950000000	964	15800000	859	14100000	16.2	411	803	334000000	156	2560000	101	1660000	3.54	89.9							24.8	10300000	284000	76300000000000			149	96100	719	299000000					175	2870000	473	7750000																																			4.19	106	37.8	960	122	3100	138	3510
AISC_LRFD_14	W	W40X199	W1000X296	W40X199	W1000X296	W40	W1000		16	199	296	58.8	37900	38.7	983	38.625	981							15.8	401	15.75	400							0.650	16.5	0.625	15.9	0.3125	7.94	1.07	27.2	1.0625	27.0							2.25	57.2	2.3125	58.7	1.5625	39.7											7.39	7.39					52.6	52.6					14900	6200000000	869	14200000	770	12600000	16.0	406	695	289000000	137	2250000	88.2	1450000	3.45	87.6							18.3	7620000	246000	66100000000000			149	96100	628	261000000					153	2510000	427	7000000																																			4.12	105	37.6	955	121	3070	137	3480
AISC_LRFD_14	W	W40X392	W1000X584	W40X392	W1000X584	W40	W1000		17	392	584	116	74800	41.6	1060	41.625	1060							12.4	315	12.375	314							1.42	36.1	1.4375	36.5	0.75	19.0	2.52	64.0	2.5	63.5							3.70	94.0	3.8125	96.8	1.9375	49.2											2.45	2.45					24.1	24.1					29900	12400000000	1710	28000000	1440	23600000	16.1	409	803	334000000	212	3470000	130	2130000	2.64	67.1							172	71600000	306000	82200000000000			121	78100	946	394000000					270	4420000	848	13900000																																			3.30	83.8	39.1	993	116	2950	128	3250
AISC_LRFD_14	W	W40X331	W1000X494	W40X331	W1000X494	W40	W1000		18	331	494	97.7	63000	40.8	1040	40.75	1040							12.2	310	12.125	308							1.22	31.0	1.25	31.8	0.625	15.9	2.13	54.1	2.125	54.0							3.31	84.1	3.375	85.7	1.8125	46.0											2.86	2.86					28.0	28.0					24700	10300000000	1430	23400000	1210	19800000	15.9	404	644	268000000	172	2820000	106	1740000	2.57	65.3							105	43700000	241000	64700000000000			118	76100	766	319000000					226	3700000	706	11600000																																			3.21	81.5	38.7	983	114	2900	126	3200
AISC_LRFD_14	W	W40X327	W1000X486	W40X327	W1000X486	W40	W1000		19	327	486	95.9	61900	40.8	1040	40.75	1040							12.1	307	12.125	308							1.18	30.0	1.1875	30.2	0.625	15.9	2.13	54.1	2.125	54.0							3.31	84.1	3.375	85.7	1.8125	46.0											2.85	2.85					29.0	29.0					24500	10200000000	1410	23100000	1200	19700000	16.0	406	640	266000000	170	2790000	105	1720000	2.58	65.5							103	42900000	239000	64200000000000			117	75500	754	314000000					225	3690000	695	11400000																																			3.21	81.5	38.7	983	114	2900	126	3200
AISC_LRFD_14	W	W40X294	W1000X438	W40X294	W1000X438	W40	W1000		20	294	438	86.2	55600	40.4	1030	40.375	1030							12.0	305	12	305							1.06	26.9	1.0625	27.0	0.5625	14.3	1.93	49.0	1.9375	49.2							3.11	79.0	3.1875	81.0	1.75	44.5											3.11	3.11					32.2	32.2					21900	9120000000	1270	20800000	1080	17700000	15.9	404	562	234000000	150	2460000	93.5	1530000	2.55	64.8							76.6	31900000	208000	55900000000000			115	74200	668	278000000					203	3330000	622	10200000																																			3.16	80.3	38.5	978	113	2870	125	3180
